crop_type,disease_type,disease_stage,crop_stage,region,is_organic_farming,temperature,humidity,rainfall,soil_ph,nitrogen,organic_pesticide,organic_application_method,organic_dosage,organic_frequency,non_organic_pesticide,non_organic_application_method,non_organic_dosage,non_organic_frequency
pomegranate,downy mildew,mid,vegetative,Karnataka,1,31.6,64.3,0,6.17,34.2,Beauveria bassiana,Drip irrigation,2.5 ml/L water,Every 10 days,Tilt (propiconazole),Foliar spray,1.9 g/L water,Once every 17 days
muskmelon,powdery mildew,mid,fruiting,Bihar,1,33.2,61.6,4,6.03,46.8,Cow urine solution,Foliar spray,2.7 ml/L water,Every 10 days,Confidor,Soil application,2.7 g/L water,Once every 20 days
blackgram,stem rot,advanced,seedling,Karnataka,0,27.5,75.8,1,6.73,61.2,Trichoderma viride,Seed treatment,3.9 ml/L water,Every 10 days,Thiamethoxam,Foliar spray,2.3 g/L water,Once every 12 days
barley,root rot,mid,fruiting,Punjab,1,28.1,42.6,2,6.32,41.7,Garlic-chilli extract,Drip irrigation,2.7 ml/L water,Every 9 days,Thiamethoxam,Foliar spray,2.2 g/L water,Once every 15 days
banana,root rot,early,fruiting,Maharashtra,0,33.0,67.7,4,6.91,35.2,Garlic-chilli extract,Drip irrigation,3.7 ml/L water,Every 10 days,Thiamethoxam,Broadcast spraying,1.3 g/L water,Once every 14 days
mango,downy mildew,mid,vegetative,Maharashtra,1,26.5,76.5,3,7.02,25.7,Trichoderma viride,Seed treatment,3.2 ml/L water,Every 6 days,Ridomil Gold,Soil application,2.2 g/L water,Once every 19 days
mothbeans,powdery mildew,early,vegetative,Tamil Nadu,0,29.4,68.8,0,6.49,28.5,Trichoderma viride,Seed treatment,4.1 ml/L water,Every 7 days,Fungicide M-45,Foliar spray,1.1 g/L water,Once every 16 days
rice,downy mildew,early,flowering,Tamil Nadu,1,33.5,76.0,0,6.72,49.5,Cow urine solution,Foliar spray,3.5 ml/L water,Every 6 days,Ridomil Gold,Foliar spray,2.3 g/L water,Once every 20 days
wheat,leaf blight,mid,seedling,Punjab,0,34.4,45.9,3,6.58,43.5,Cow dung decoction,Drip irrigation,3.7 ml/L water,Every 8 days,Bavistin,Soil application,1.3 g/L water,Once every 18 days
lentil,powdery mildew,early,fruiting,Tamil Nadu,1,28.1,67.4,4,6.56,46.0,Panchagavya,Foliar spray,3.4 ml/L water,Every 9 days,Bavistin,Foliar spray,2.4 g/L water,Once every 13 days
onion,stem rot,early,seedling,Tamil Nadu,0,31.9,67.5,3,6.36,25.3,Cow urine solution,Soil drench,4.4 ml/L water,Every 10 days,Bavistin,Broadcast spraying,2.7 g/L water,Once every 11 days
mothbeans,root rot,advanced,seedling,Karnataka,1,29.5,69.6,2,6.45,32.8,Garlic-chilli extract,Drip irrigation,5.0 ml/L water,Every 8 days,Confidor,Soil application,1.4 g/L water,Once every 14 days
wheat,root rot,advanced,fruiting,Maharashtra,0,30.3,58.4,2,6.14,42.7,Neem oil spray,Soil drench,3.5 ml/L water,Every 7 days,Confidor,Broadcast spraying,1.0 g/L water,Once every 11 days
tomato,root rot,advanced,fruiting,Bihar,0,27.1,76.0,3,6.41,46.6,Trichoderma viride,Seed treatment,2.2 ml/L water,Every 5 days,Ridomil Gold,Foliar spray,1.9 g/L water,Once every 11 days
millet,root rot,early,seedling,Maharashtra,1,27.3,76.6,2,6.41,47.9,Garlic-chilli extract,Drip irrigation,3.9 ml/L water,Every 5 days,Carbendazim,Foliar spray,2.3 g/L water,Once every 12 days
lentil,downy mildew,advanced,fruiting,Karnataka,1,31.4,68.7,2,6.35,47.2,Cow dung decoction,Foliar spray,3.2 ml/L water,Every 7 days,Tilt (propiconazole),Broadcast spraying,2.7 g/L water,Once every 10 days
jute,stem rot,mid,vegetative,Karnataka,0,32.3,42.5,2,6.49,52.7,Panchagavya,Soil drench,4.6 ml/L water,Every 7 days,Carbendazim,Soil application,2.0 g/L water,Once every 20 days
sugarcane,stem rot,advanced,fruiting,Bihar,0,27.6,68.7,2,6.31,37.3,Fish amino acid,Seed treatment,2.5 ml/L water,Every 9 days,Confidor,Soil application,2.5 g/L water,Once every 13 days
mungbean,leaf blight,mid,flowering,Punjab,0,32.5,57.5,4,6.03,45.6,Panchagavya,Drip irrigation,3.4 ml/L water,Every 10 days,Thiamethoxam,Foliar spray,2.5 g/L water,Once every 13 days
muskmelon,root rot,advanced,flowering,Maharashtra,0,30.0,53.0,0,6.46,46.9,Neem oil spray,Foliar spray,4.6 ml/L water,Every 8 days,Fungicide M-45,Foliar spray,1.8 g/L water,Once every 14 days
pigeonpeas,leaf blight,early,fruiting,Bihar,1,31.2,71.9,2,6.23,46.0,Trichoderma viride,Drip irrigation,2.6 ml/L water,Every 6 days,Thiamethoxam,Foliar spray,1.5 g/L water,Once every 12 days
maize,root rot,advanced,fruiting,Maharashtra,0,28.0,48.4,4,6.25,28.9,Cow dung decoction,Foliar spray,2.4 ml/L water,Every 9 days,Ridomil Gold,Foliar spray,2.1 g/L water,Once every 15 days
blackgram,root rot,mid,seedling,Tamil Nadu,1,31.6,55.0,2,6.07,35.6,Cow urine solution,Seed treatment,3.2 ml/L water,Every 5 days,Fungicide M-45,Soil application,1.3 g/L water,Once every 19 days
chickpea,downy mildew,advanced,vegetative,Punjab,1,23.8,87.8,2,6.07,39.3,Garlic-chilli extract,Soil drench,3.7 ml/L water,Every 5 days,Ridomil Gold,Broadcast spraying,2.1 g/L water,Once every 10 days
watermelon,downy mildew,mid,fruiting,Maharashtra,0,36.7,75.9,0,6.31,34.1,Fish amino acid,Drip irrigation,2.9 ml/L water,Every 7 days,Thiamethoxam,Soil application,1.4 g/L water,Once every 19 days
mungbean,leaf blight,mid,vegetative,Bihar,0,27.6,57.1,1,6.4,45.9,Beauveria bassiana,Soil drench,2.2 ml/L water,Every 7 days,Chlorpyrifos,Foliar spray,2.8 g/L water,Once every 16 days
jute,downy mildew,early,seedling,Maharashtra,1,26.1,56.7,4,6.15,38.9,Panchagavya,Soil drench,4.7 ml/L water,Every 10 days,Bavistin,Foliar spray,2.1 g/L water,Once every 18 days
chickpea,powdery mildew,advanced,vegetative,Punjab,1,29.3,66.8,1,5.98,37.0,Cow urine solution,Drip irrigation,2.0 ml/L water,Every 9 days,Carbendazim,Broadcast spraying,2.0 g/L water,Once every 18 days
mango,leaf blight,advanced,vegetative,Karnataka,0,34.0,75.3,4,6.75,21.5,Trichoderma viride,Drip irrigation,4.6 ml/L water,Every 8 days,Chlorpyrifos,Soil application,1.5 g/L water,Once every 19 days
wheat,downy mildew,advanced,fruiting,Punjab,0,34.1,57.5,0,6.58,43.1,Cow urine solution,Foliar spray,4.7 ml/L water,Every 6 days,Carbendazim,Foliar spray,1.3 g/L water,Once every 16 days
grapes,powdery mildew,mid,seedling,Maharashtra,1,35.1,66.5,1,6.99,38.7,Cow dung decoction,Drip irrigation,3.9 ml/L water,Every 10 days,Bavistin,Broadcast spraying,2.7 g/L water,Once every 11 days
wheat,root rot,mid,vegetative,Bihar,0,27.5,67.1,3,6.6,47.9,Cow urine solution,Drip irrigation,3.0 ml/L water,Every 5 days,Fungicide M-45,Soil application,2.0 g/L water,Once every 15 days
watermelon,leaf blight,mid,vegetative,Maharashtra,0,30.8,71.1,2,6.51,60.2,Garlic-chilli extract,Soil drench,2.3 ml/L water,Every 8 days,Tilt (propiconazole),Broadcast spraying,1.9 g/L water,Once every 19 days
chickpea,leaf blight,advanced,vegetative,Bihar,0,28.7,52.7,3,6.71,33.8,Trichoderma viride,Soil drench,3.8 ml/L water,Every 10 days,Chlorpyrifos,Foliar spray,2.0 g/L water,Once every 12 days
onion,root rot,advanced,fruiting,Maharashtra,0,32.6,88.1,1,6.46,37.6,Garlic-chilli extract,Foliar spray,3.8 ml/L water,Every 7 days,Fungicide M-45,Foliar spray,2.6 g/L water,Once every 11 days
blackgram,powdery mildew,mid,vegetative,Tamil Nadu,1,30.4,65.2,0,7.22,34.9,Cow urine solution,Soil drench,2.9 ml/L water,Every 8 days,Bavistin,Broadcast spraying,1.7 g/L water,Once every 12 days
mothbeans,downy mildew,advanced,flowering,Tamil Nadu,1,31.6,74.3,3,6.53,47.3,Beauveria bassiana,Foliar spray,2.4 ml/L water,Every 8 days,Carbendazim,Foliar spray,1.4 g/L water,Once every 18 days
lentil,root rot,advanced,fruiting,Bihar,0,25.1,75.6,4,5.99,45.5,Garlic-chilli extract,Seed treatment,3.9 ml/L water,Every 5 days,Chlorpyrifos,Broadcast spraying,1.8 g/L water,Once every 16 days
tomato,root rot,advanced,seedling,Bihar,0,30.5,59.0,1,6.71,33.9,Trichoderma viride,Soil drench,2.3 ml/L water,Every 10 days,Tilt (propiconazole),Soil application,2.3 g/L water,Once every 14 days
orange,leaf blight,mid,flowering,Tamil Nadu,0,30.4,76.1,1,6.4,32.4,Garlic-chilli extract,Soil drench,4.4 ml/L water,Every 9 days,Tilt (propiconazole),Broadcast spraying,2.6 g/L water,Once every 17 days
pigeonpeas,leaf blight,early,vegetative,Maharashtra,1,33.3,66.1,6,6.3,46.8,Cow urine solution,Soil drench,2.5 ml/L water,Every 9 days,Tilt (propiconazole),Broadcast spraying,2.4 g/L water,Once every 16 days
banana,downy mildew,advanced,fruiting,Punjab,0,28.0,71.8,4,6.24,45.3,Cow urine solution,Seed treatment,4.5 ml/L water,Every 7 days,Ridomil Gold,Soil application,2.2 g/L water,Once every 14 days
pomegranate,leaf blight,early,flowering,Tamil Nadu,0,30.3,57.4,4,6.32,43.5,Fish amino acid,Seed treatment,3.6 ml/L water,Every 5 days,Bavistin,Foliar spray,2.4 g/L water,Once every 10 days
pigeonpeas,downy mildew,early,flowering,Maharashtra,0,20.2,61.0,0,6.14,39.8,Panchagavya,Drip irrigation,3.3 ml/L water,Every 8 days,Bavistin,Foliar spray,2.1 g/L water,Once every 13 days
wheat,powdery mildew,mid,flowering,Punjab,1,29.1,78.2,0,6.5,35.6,Garlic-chilli extract,Foliar spray,2.4 ml/L water,Every 8 days,Chlorpyrifos,Soil application,2.4 g/L water,Once every 10 days
papaya,leaf blight,mid,flowering,Tamil Nadu,0,32.9,70.5,4,6.88,31.1,Fish amino acid,Foliar spray,4.4 ml/L water,Every 8 days,Confidor,Foliar spray,2.9 g/L water,Once every 14 days
onion,leaf blight,early,seedling,Bihar,0,25.0,77.9,0,6.39,39.0,Panchagavya,Foliar spray,2.3 ml/L water,Every 5 days,Confidor,Foliar spray,1.8 g/L water,Once every 14 days
sugarcane,powdery mildew,advanced,fruiting,Bihar,1,24.7,73.1,2,6.43,60.9,Trichoderma viride,Seed treatment,3.7 ml/L water,Every 7 days,Tilt (propiconazole),Broadcast spraying,2.6 g/L water,Once every 11 days
banana,leaf blight,early,vegetative,Punjab,0,34.0,64.5,3,6.44,54.1,Fish amino acid,Seed treatment,3.2 ml/L water,Every 8 days,Ridomil Gold,Foliar spray,2.2 g/L water,Once every 18 days
banana,downy mildew,advanced,seedling,Maharashtra,1,29.0,76.7,1,6.62,45.3,Fish amino acid,Drip irrigation,3.7 ml/L water,Every 5 days,Thiamethoxam,Broadcast spraying,2.8 g/L water,Once every 17 days
onion,powdery mildew,early,vegetative,Tamil Nadu,1,30.6,60.9,0,6.61,30.2,Neem oil spray,Soil drench,3.9 ml/L water,Every 7 days,Chlorpyrifos,Soil application,1.8 g/L water,Once every 10 days
orange,leaf blight,mid,flowering,Karnataka,1,33.7,63.7,5,5.75,46.6,Panchagavya,Seed treatment,4.4 ml/L water,Every 10 days,Thiamethoxam,Broadcast spraying,1.9 g/L water,Once every 10 days
mothbeans,stem rot,early,seedling,Bihar,0,29.5,72.5,2,6.65,60.4,Cow dung decoction,Drip irrigation,4.5 ml/L water,Every 6 days,Thiamethoxam,Foliar spray,2.3 g/L water,Once every 10 days
muskmelon,stem rot,early,seedling,Bihar,1,27.8,66.6,0,6.56,38.5,Panchagavya,Soil drench,2.2 ml/L water,Every 6 days,Thiamethoxam,Foliar spray,1.2 g/L water,Once every 16 days
kidneybeans,stem rot,advanced,seedling,Karnataka,1,27.3,45.5,2,6.45,34.9,Fish amino acid,Soil drench,2.8 ml/L water,Every 5 days,Ridomil Gold,Foliar spray,1.4 g/L water,Once every 19 days
muskmelon,downy mildew,advanced,flowering,Tamil Nadu,1,31.2,67.3,0,6.58,44.1,Cow dung decoction,Seed treatment,3.8 ml/L water,Every 6 days,Ridomil Gold,Soil application,1.3 g/L water,Once every 11 days
coconut,stem rot,advanced,flowering,Maharashtra,0,25.8,50.2,1,6.53,39.0,Beauveria bassiana,Drip irrigation,3.5 ml/L water,Every 6 days,Ridomil Gold,Soil application,1.5 g/L water,Once every 19 days
cotton,downy mildew,advanced,vegetative,Bihar,1,32.0,56.4,1,6.25,58.4,Trichoderma viride,Drip irrigation,3.4 ml/L water,Every 10 days,Fungicide M-45,Broadcast spraying,2.7 g/L water,Once every 19 days
orange,root rot,mid,fruiting,Karnataka,1,23.5,77.4,5,6.52,38.1,Panchagavya,Drip irrigation,4.6 ml/L water,Every 10 days,Tilt (propiconazole),Broadcast spraying,1.4 g/L water,Once every 10 days
grapes,leaf blight,early,seedling,Punjab,0,30.4,55.5,2,6.59,41.3,Cow urine solution,Drip irrigation,2.6 ml/L water,Every 6 days,Fungicide M-45,Foliar spray,1.0 g/L water,Once every 13 days
papaya,root rot,advanced,vegetative,Karnataka,1,30.1,75.3,6,6.23,62.6,Fish amino acid,Foliar spray,4.4 ml/L water,Every 5 days,Ridomil Gold,Soil application,2.4 g/L water,Once every 16 days
tomato,stem rot,early,seedling,Tamil Nadu,0,30.4,66.4,1,6.68,45.1,Garlic-chilli extract,Foliar spray,4.6 ml/L water,Every 9 days,Chlorpyrifos,Foliar spray,2.8 g/L water,Once every 10 days
maize,stem rot,mid,vegetative,Maharashtra,0,31.7,60.5,3,6.37,34.5,Panchagavya,Seed treatment,4.6 ml/L water,Every 5 days,Tilt (propiconazole),Soil application,2.2 g/L water,Once every 10 days
jute,stem rot,advanced,flowering,Punjab,0,30.9,63.9,1,6.25,47.5,Garlic-chilli extract,Foliar spray,3.7 ml/L water,Every 5 days,Fungicide M-45,Soil application,2.8 g/L water,Once every 13 days
onion,stem rot,advanced,vegetative,Maharashtra,1,27.1,71.6,2,6.72,44.0,Neem oil spray,Soil drench,3.3 ml/L water,Every 7 days,Tilt (propiconazole),Foliar spray,2.4 g/L water,Once every 17 days
sugarcane,stem rot,advanced,flowering,Karnataka,0,26.2,51.4,3,6.39,44.2,Panchagavya,Seed treatment,3.8 ml/L water,Every 7 days,Carbendazim,Broadcast spraying,2.5 g/L water,Once every 17 days
cotton,root rot,early,seedling,Karnataka,1,31.8,67.5,4,6.79,44.8,Panchagavya,Seed treatment,2.6 ml/L water,Every 10 days,Confidor,Soil application,2.7 g/L water,Once every 13 days
apple,leaf blight,early,seedling,Tamil Nadu,0,30.8,67.8,0,6.73,44.0,Neem oil spray,Seed treatment,3.1 ml/L water,Every 7 days,Ridomil Gold,Soil application,1.7 g/L water,Once every 13 days
chickpea,stem rot,early,fruiting,Punjab,0,28.4,59.0,2,6.12,35.7,Fish amino acid,Soil drench,3.7 ml/L water,Every 9 days,Ridomil Gold,Broadcast spraying,1.6 g/L water,Once every 17 days
jute,stem rot,early,vegetative,Karnataka,0,28.7,62.2,2,6.61,43.3,Cow dung decoction,Soil drench,4.0 ml/L water,Every 9 days,Chlorpyrifos,Soil application,2.0 g/L water,Once every 16 days
lentil,downy mildew,advanced,flowering,Tamil Nadu,1,32.4,78.6,4,6.31,41.8,Beauveria bassiana,Foliar spray,2.4 ml/L water,Every 8 days,Tilt (propiconazole),Soil application,1.6 g/L water,Once every 17 days
onion,powdery mildew,advanced,vegetative,Bihar,1,33.2,62.3,1,6.21,31.4,Beauveria bassiana,Soil drench,2.5 ml/L water,Every 10 days,Carbendazim,Foliar spray,1.2 g/L water,Once every 20 days
rice,leaf blight,early,seedling,Maharashtra,0,33.6,70.3,1,6.28,32.1,Cow urine solution,Soil drench,2.6 ml/L water,Every 5 days,Thiamethoxam,Broadcast spraying,2.9 g/L water,Once every 14 days
banana,powdery mildew,early,seedling,Karnataka,0,27.3,57.8,2,6.5,49.1,Panchagavya,Seed treatment,4.2 ml/L water,Every 10 days,Tilt (propiconazole),Foliar spray,2.4 g/L water,Once every 16 days
coconut,downy mildew,early,flowering,Karnataka,0,33.1,70.3,2,6.0,41.5,Cow urine solution,Foliar spray,2.7 ml/L water,Every 10 days,Ridomil Gold,Foliar spray,2.0 g/L water,Once every 18 days
tomato,root rot,early,fruiting,Punjab,0,26.4,43.2,4,6.61,39.4,Panchagavya,Foliar spray,4.7 ml/L water,Every 8 days,Carbendazim,Soil application,2.8 g/L water,Once every 16 days
mango,root rot,mid,seedling,Karnataka,1,34.8,56.6,3,6.47,38.8,Garlic-chilli extract,Soil drench,2.6 ml/L water,Every 5 days,Tilt (propiconazole),Foliar spray,2.2 g/L water,Once every 17 days
mothbeans,powdery mildew,advanced,flowering,Tamil Nadu,0,25.9,73.1,3,5.85,39.7,Garlic-chilli extract,Foliar spray,3.5 ml/L water,Every 6 days,Confidor,Broadcast spraying,1.9 g/L water,Once every 18 days
mothbeans,leaf blight,early,flowering,Tamil Nadu,0,30.0,57.1,2,6.3,46.7,Neem oil spray,Foliar spray,3.3 ml/L water,Every 7 days,Bavistin,Foliar spray,2.3 g/L water,Once every 19 days
tomato,leaf blight,early,vegetative,Bihar,0,28.5,75.3,0,6.76,42.0,Neem oil spray,Drip irrigation,3.0 ml/L water,Every 9 days,Thiamethoxam,Soil application,2.5 g/L water,Once every 10 days
potato,downy mildew,advanced,seedling,Bihar,1,31.1,71.8,1,6.44,47.5,Trichoderma viride,Soil drench,3.1 ml/L water,Every 9 days,Fungicide M-45,Foliar spray,1.4 g/L water,Once every 17 days
coffee,downy mildew,advanced,vegetative,Maharashtra,0,31.0,72.5,1,6.76,53.1,Beauveria bassiana,Seed treatment,4.2 ml/L water,Every 6 days,Carbendazim,Soil application,1.3 g/L water,Once every 13 days
pomegranate,downy mildew,advanced,flowering,Punjab,0,32.8,74.9,1,6.67,30.1,Garlic-chilli extract,Drip irrigation,2.7 ml/L water,Every 6 days,Chlorpyrifos,Soil application,2.7 g/L water,Once every 11 days
onion,root rot,advanced,vegetative,Punjab,1,31.2,61.7,0,6.84,48.6,Garlic-chilli extract,Foliar spray,3.6 ml/L water,Every 7 days,Carbendazim,Soil application,2.6 g/L water,Once every 14 days
pigeonpeas,stem rot,mid,seedling,Bihar,1,27.3,52.6,2,6.79,26.7,Garlic-chilli extract,Seed treatment,4.8 ml/L water,Every 6 days,Fungicide M-45,Soil application,2.8 g/L water,Once every 14 days
jute,root rot,early,flowering,Karnataka,1,30.5,59.4,1,6.69,44.1,Trichoderma viride,Foliar spray,3.3 ml/L water,Every 7 days,Thiamethoxam,Foliar spray,2.0 g/L water,Once every 17 days
coffee,downy mildew,mid,vegetative,Punjab,1,33.6,71.7,2,6.47,38.2,Beauveria bassiana,Seed treatment,3.3 ml/L water,Every 5 days,Tilt (propiconazole),Foliar spray,2.3 g/L water,Once every 19 days
muskmelon,root rot,early,vegetative,Karnataka,1,31.5,67.1,2,6.41,36.9,Cow urine solution,Foliar spray,2.2 ml/L water,Every 8 days,Fungicide M-45,Broadcast spraying,1.4 g/L water,Once every 10 days
sugarcane,leaf blight,early,seedling,Tamil Nadu,0,32.2,66.2,2,6.39,58.6,Trichoderma viride,Foliar spray,3.1 ml/L water,Every 10 days,Confidor,Soil application,2.5 g/L water,Once every 16 days
maize,powdery mildew,mid,seedling,Punjab,1,32.6,80.0,5,6.31,47.4,Beauveria bassiana,Foliar spray,4.1 ml/L water,Every 5 days,Confidor,Broadcast spraying,2.7 g/L water,Once every 17 days
tomato,root rot,advanced,vegetative,Tamil Nadu,0,27.4,68.9,2,6.46,38.8,Cow urine solution,Drip irrigation,4.4 ml/L water,Every 8 days,Carbendazim,Soil application,2.1 g/L water,Once every 16 days
grapes,root rot,advanced,seedling,Karnataka,0,25.9,59.8,3,6.4,41.9,Fish amino acid,Seed treatment,3.3 ml/L water,Every 8 days,Carbendazim,Soil application,2.6 g/L water,Once every 20 days
wheat,downy mildew,early,fruiting,Maharashtra,1,31.1,63.6,0,6.65,29.1,Neem oil spray,Seed treatment,2.5 ml/L water,Every 9 days,Carbendazim,Soil application,1.7 g/L water,Once every 19 days
pigeonpeas,downy mildew,early,seedling,Tamil Nadu,0,30.3,58.7,2,7.26,40.0,Fish amino acid,Soil drench,2.5 ml/L water,Every 6 days,Thiamethoxam,Foliar spray,1.4 g/L water,Once every 12 days
blackgram,leaf blight,early,flowering,Karnataka,0,30.8,50.1,7,6.79,34.5,Fish amino acid,Seed treatment,3.1 ml/L water,Every 8 days,Tilt (propiconazole),Foliar spray,2.4 g/L water,Once every 18 days
watermelon,stem rot,advanced,vegetative,Karnataka,0,25.0,66.4,3,6.2,41.8,Cow dung decoction,Foliar spray,2.1 ml/L water,Every 5 days,Ridomil Gold,Foliar spray,2.7 g/L water,Once every 11 days
watermelon,leaf blight,advanced,flowering,Maharashtra,1,25.3,57.4,5,7.06,51.2,Neem oil spray,Soil drench,3.5 ml/L water,Every 10 days,Confidor,Broadcast spraying,1.3 g/L water,Once every 16 days
millet,downy mildew,advanced,vegetative,Bihar,1,32.4,72.6,1,6.29,46.7,Neem oil spray,Foliar spray,2.7 ml/L water,Every 8 days,Confidor,Broadcast spraying,2.5 g/L water,Once every 11 days
kidneybeans,downy mildew,advanced,vegetative,Maharashtra,1,29.1,71.1,0,6.54,32.7,Trichoderma viride,Drip irrigation,3.3 ml/L water,Every 7 days,Carbendazim,Soil application,1.5 g/L water,Once every 19 days
apple,stem rot,advanced,seedling,Bihar,1,26.8,56.1,1,5.83,51.0,Fish amino acid,Foliar spray,4.6 ml/L water,Every 8 days,Chlorpyrifos,Foliar spray,2.5 g/L water,Once every 20 days
sugarcane,root rot,advanced,seedling,Bihar,1,27.0,63.1,0,6.36,33.6,Beauveria bassiana,Drip irrigation,3.6 ml/L water,Every 5 days,Confidor,Broadcast spraying,2.3 g/L water,Once every 12 days
tomato,root rot,advanced,vegetative,Punjab,0,30.9,65.8,3,6.48,26.6,Garlic-chilli extract,Foliar spray,5.0 ml/L water,Every 6 days,Fungicide M-45,Soil application,1.1 g/L water,Once every 17 days
papaya,leaf blight,mid,flowering,Tamil Nadu,0,34.9,64.2,3,6.17,51.0,Panchagavya,Seed treatment,4.9 ml/L water,Every 10 days,Bavistin,Soil application,1.6 g/L water,Once every 17 days
orange,root rot,early,seedling,Maharashtra,0,24.7,66.4,2,6.61,38.4,Panchagavya,Seed treatment,3.7 ml/L water,Every 5 days,Thiamethoxam,Soil application,2.4 g/L water,Once every 15 days
onion,leaf blight,early,seedling,Punjab,0,28.3,85.3,5,6.9,36.6,Beauveria bassiana,Soil drench,3.4 ml/L water,Every 8 days,Carbendazim,Broadcast spraying,1.2 g/L water,Once every 11 days
potato,root rot,mid,flowering,Punjab,0,29.4,65.9,0,6.44,43.0,Neem oil spray,Drip irrigation,4.5 ml/L water,Every 9 days,Fungicide M-45,Broadcast spraying,1.0 g/L water,Once every 10 days
lentil,root rot,mid,fruiting,Karnataka,1,34.0,85.1,1,6.64,30.3,Fish amino acid,Soil drench,3.1 ml/L water,Every 10 days,Ridomil Gold,Soil application,2.3 g/L water,Once every 13 days
rice,root rot,advanced,flowering,Bihar,1,23.6,51.7,0,6.61,22.9,Cow urine solution,Foliar spray,2.5 ml/L water,Every 9 days,Confidor,Broadcast spraying,2.7 g/L water,Once every 17 days
apple,leaf blight,early,flowering,Karnataka,1,38.6,61.1,1,6.61,42.3,Neem oil spray,Foliar spray,3.9 ml/L water,Every 5 days,Confidor,Foliar spray,2.4 g/L water,Once every 20 days
coconut,downy mildew,early,vegetative,Maharashtra,0,26.6,51.3,4,6.76,30.9,Cow dung decoction,Soil drench,4.6 ml/L water,Every 7 days,Chlorpyrifos,Broadcast spraying,2.3 g/L water,Once every 17 days
